The optimal dielectric constants for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
-------------------------------------------------------------------------------------------------------------------------------
                     | blyp           | b3lyp          | bhhlyp         | hf             | hse06          | lc-wpbe       
CH4N2O               |          80.00 |          25.13 |           1.79 |           1.01 |          80.00 |           1.20
OCS                  |          80.00 |          38.40 |           1.96 |           1.01 |          80.00 |           1.20
CHFCF2               |          80.00 |          80.00 |           2.05 |           1.01 |          80.00 |           1.21
P2                   |          80.00 |          80.00 |           2.44 |           1.01 |          80.00 |           1.21
Z-CHF-CHF            |          80.00 |          80.00 |           2.10 |           1.01 |          80.00 |           1.21
CH3OCH3              |          80.00 |          77.57 |           1.48 |           1.01 |          80.00 |           1.21
H2S                  |          80.00 |          17.89 |           1.95 |           1.01 |          21.38 |           1.21
CH3CH2Cl             |          80.00 |          80.00 |           2.04 |           1.01 |          80.00 |           1.22
SiO                  |          80.00 |          32.84 |           1.89 |           1.01 |          80.00 |           1.22
CCl2F2               |          80.00 |          80.00 |           2.10 |           1.01 |          80.00 |           1.23
C2F4                 |          80.00 |          80.00 |           2.23 |           1.01 |          80.00 |           1.23
NSF                  |          80.00 |          38.93 |           1.67 |           1.01 |          80.00 |           1.23
PF3                  |          80.00 |          80.00 |           2.18 |           1.01 |          80.00 |           1.23
NaCl                 |          80.00 |          20.08 |           1.84 |           1.01 |          23.86 |           1.24
N2H4                 |          80.00 |          48.22 |           1.79 |           1.01 |          80.00 |           1.25
C2H2                 |          80.00 |          80.00 |           2.00 |           1.01 |          80.00 |           1.25
CH3CH3               |          80.00 |          80.00 |           2.30 |           1.01 |          80.00 |           1.26
CH3CN                |          80.00 |          80.00 |           1.91 |           1.01 |          80.00 |           1.26
HCONH2               |          80.00 |          36.53 |           1.41 |           1.01 |          47.40 |           1.26
CH3Cl                |          80.00 |          80.00 |           1.94 |           1.01 |          80.00 |           1.26
CH3CH2OH             |          80.00 |          80.00 |           1.60 |           1.01 |          80.00 |           1.27
CClF3                |          80.00 |          80.00 |           1.96 |           1.01 |          80.00 |           1.28
Ethylene_oxide       |          80.00 |          80.00 |           1.41 |           1.01 |          80.00 |           1.28
OCHCHO               |          80.00 |          80.00 |           1.91 |           1.01 |          80.00 |           1.28
HCCF                 |          80.00 |          80.00 |           2.08 |           1.01 |          80.00 |           1.28
Cl2                  |          80.00 |          80.00 |           2.15 |           1.01 |          80.00 |           1.29
CF3CN                |          80.00 |          80.00 |           2.00 |           1.01 |          80.00 |           1.30
SF6                  |          80.00 |          80.00 |           2.11 |           1.01 |          80.00 |           1.31
SO2                  |          80.00 |          80.00 |           1.94 |           1.01 |          80.00 |           1.34
ClF3                 |          80.00 |          80.00 |           2.17 |           1.01 |          80.00 |           1.35
CH3                  |          80.00 |          80.00 |           1.95 |           1.01 |          80.00 |           1.36
HCOOH                |          80.00 |          80.00 |           1.52 |           1.01 |          80.00 |           1.36
CO                   |          80.00 |          80.00 |           2.06 |           1.01 |          80.00 |           1.36
CH4                  |          80.00 |          80.00 |           2.07 |           1.01 |          80.00 |           1.36
NH3                  |          80.00 |          45.21 |           1.76 |           1.01 |          26.74 |           1.36
CH3NO2               |          80.00 |          80.00 |           1.70 |           1.01 |          80.00 |           1.38
HOCl                 |          80.00 |          80.00 |           2.05 |           1.01 |          80.00 |           1.38
CH3OH                |          80.00 |          80.00 |           1.64 |           1.01 |          80.00 |           1.39
SiF4                 |          80.00 |          80.00 |           2.08 |           1.01 |          80.00 |           1.39
CHF3                 |          80.00 |          80.00 |           2.23 |           1.01 |          80.00 |           1.42
HCl                  |          80.00 |          80.00 |           2.11 |           1.01 |          80.00 |           1.42
HCN                  |          80.00 |          80.00 |           2.17 |           1.01 |          80.00 |           1.42
CH2F2                |          80.00 |          80.00 |           2.25 |           1.01 |          80.00 |           1.42
CH2O                 |          80.00 |          80.00 |           1.63 |           1.01 |          80.00 |           1.43
FCN                  |          80.00 |          80.00 |           2.19 |           1.01 |          80.00 |           1.45
CF4                  |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           1.46
ClF                  |          80.00 |          80.00 |           2.24 |           1.01 |          80.00 |           1.47
NF3                  |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           1.48
HCO                  |          80.00 |          80.00 |           2.27 |           1.01 |          80.00 |           1.49
NNO                  |          80.00 |          80.00 |           1.82 |           1.01 |          80.00 |           1.49
CF2O                 |          80.00 |          80.00 |           1.61 |           1.01 |          80.00 |           1.50
CH3F                 |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           1.51
CO2                  |          80.00 |          80.00 |           1.81 |           1.01 |          80.00 |           1.55
O3                   |          80.00 |          80.00 |           2.22 |           1.01 |          80.00 |           1.56
H2O2                 |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           1.56
BF3                  |          80.00 |          80.00 |           2.14 |           1.01 |          80.00 |           1.62
NH                   |          80.00 |          80.00 |           1.88 |           1.01 |          80.00 |           1.72
F2O                  |          80.00 |          80.00 |           1.81 |           1.01 |          80.00 |           1.72
H2O                  |          80.00 |          80.00 |           1.76 |           1.01 |          80.00 |           1.74
N2                   |          80.00 |          80.00 |           2.36 |           1.01 |          80.00 |           1.78
NH2                  |          80.00 |          80.00 |           2.21 |           1.01 |          80.00 |           1.86
NO                   |          80.00 |          80.00 |           2.54 |           1.01 |          80.00 |           1.96
O2                   |          80.00 |          80.00 |           2.15 |           1.01 |          80.00 |           1.97
ClO                  |          80.00 |          80.00 |           4.05 |           1.01 |          80.00 |           2.22
C2H4                 |          80.00 |          22.26 |           1.87 |           1.42 |          31.07 |           2.23
C2N2                 |          80.00 |          80.00 |           1.96 |           1.04 |          80.00 |           2.25
HF                   |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           2.83
F2                   |          80.00 |          80.00 |           2.42 |           1.01 |          80.00 |           2.90
OH                   |          80.00 |          80.00 |           9.99 |           1.01 |          80.00 |          23.62
NO2                  |          80.00 |          80.00 |          80.00 |           1.01 |          80.00 |          80.00
-------------------------------------------------------------------------------------------------------------------------------
