The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules when varying a range-separated hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table.
--------------------------------------------------------------------------------------------------------
                     |                omega                         |                opt            
Acrolein             |          -0.63          -0.06           0.35 |           0.00           0.35 
Pyrimidine           |          -0.55          -0.04           0.18 |           0.00           0.35 
Acrylonitrile        |          -0.56          -0.04           0.18 |           0.00           0.35 
CH3NHCH3             |          -0.62          -0.05           0.29 |           0.00           0.35 
CS2                  |          -0.54          -0.04           0.17 |           0.00           0.35 
HCCCHO               |          -0.64          -0.06           0.35 |           0.00           0.35 
NCCCCN               |          -0.51          -0.04           0.18 |           0.00           0.35 
HCCCCH               |          -0.55          -0.04           0.17 |           0.00           0.35 
2-Propenoic_acid     |          -0.57          -0.06           0.28 |           0.00           0.35 
Chloroethene         |          -0.57          -0.04           0.16 |           0.00           0.36 
CH3COCH3             |          -0.63          -0.06           0.34 |           0.00           0.36 
CH3CONH2             |          -0.65          -0.07           0.36 |           0.00           0.36 
Ethylenimine         |          -0.64          -0.06           0.27 |           0.00           0.36 
SiH3                 |          -0.58          -0.05           0.11 |           0.00           0.36 
CH3CCH               |          -0.62          -0.06           0.20 |           0.00           0.36 
CH3SH                |          -0.62          -0.06           0.18 |           0.00           0.36 
Cyclopropene         |          -0.61          -0.05           0.17 |           0.00           0.36 
H2CS                 |          -0.63          -0.06           0.18 |           0.00           0.37 
CH3CClO              |          -0.55          -0.07           0.19 |          -0.00           0.37 
C3O2                 |          -0.58          -0.06           0.19 |           0.00           0.37 
NSF3                 |          -0.65          -0.08           0.24 |           0.00           0.37 
PH3                  |          -0.62          -0.06           0.14 |           0.00           0.37 
Pyrazine             |          -0.53          -0.05           0.07 |          -0.00           0.37 
1-Chloropropane      |          -0.51          -0.07           0.22 |           0.00           0.37 
CH2CF2               |          -0.64          -0.07           0.17 |           0.00           0.38 
Fluoroethene         |          -0.65          -0.07           0.17 |           0.00           0.38 
CCl4                 |          -0.47          -0.04           0.21 |           0.00           0.38 
CBrF3                |          -0.64          -0.08           0.18 |           0.00           0.38 
HCCCN                |          -0.59          -0.07           0.18 |           0.00           0.38 
CH3OCH3              |          -0.65          -0.08           0.31 |           0.00           0.38 
CH3CH2CH3            |          -0.56          -0.05           0.14 |          -0.00           0.38 
CH3CH2Cl             |          -0.61          -0.08           0.21 |           0.00           0.38 
HCONH2               |          -0.70          -0.10           0.34 |           0.00           0.39 
CH2CO                |          -0.64          -0.08           0.17 |           0.00           0.39 
Z-CHF-CHF            |          -0.64          -0.08           0.16 |           0.00           0.39 
Ethylene_oxide       |          -0.70          -0.11           0.35 |           0.00           0.39 
CHFCF2               |          -0.64          -0.08           0.16 |           0.00           0.39 
S2                   |          -0.60          -0.07           0.13 |           0.00           0.40 
CF3CN                |          -0.63          -0.26           0.27 |           0.00           0.40 
NSF                  |          -0.67          -0.09           0.24 |           0.00           0.40 
OCS                  |          -0.63          -0.08           0.15 |           0.00           0.40 
C2F4                 |          -0.64          -0.08           0.16 |           0.00           0.40 
CH3CN                |          -0.67          -0.10           0.21 |           0.00           0.40 
s-Tetrazine          |          -0.57          -0.07           0.14 |          -0.00           0.40 
NaCl                 |          -0.69          -0.10           0.19 |          -0.00           0.40 
C2H2                 |          -0.71          -0.11           0.18 |           0.00           0.40 
CClF3                |          -0.66          -0.11           0.21 |           0.00           0.41 
SiF2                 |          -0.61          -0.07           0.10 |           0.00           0.41 
H2S                  |          -0.69          -0.10           0.15 |           0.00           0.41 
CH3SiH3              |          -0.56          -0.07           0.13 |           0.00           0.41 
N2H4                 |          -0.69          -0.10           0.20 |          -0.00           0.41 
CH3CH2OH             |          -0.65          -0.10           0.29 |           0.00           0.41 
SiH4                 |          -0.61          -0.07           0.11 |           0.00           0.41 
CCl2F2               |          -0.58          -0.08           0.14 |           0.00           0.41 
CH3Cl                |          -0.68          -0.11           0.19 |           0.00           0.41 
CFCl3                |          -0.52          -0.06           0.10 |          -0.00           0.41 
CCl3H                |          -0.52          -0.06           0.07 |          -0.00           0.42 
HCOOH                |          -0.73          -0.13           0.31 |           0.00           0.42 
HCCF                 |          -0.70          -0.11           0.17 |           0.00           0.42 
H2CCCl2              |          -0.52          -0.02           0.17 |           0.06           0.42 
PF3                  |          -0.65          -0.09           0.13 |           0.00           0.42 
CH3CH3               |          -0.62          -0.09           0.16 |           0.00           0.42 
AlCl3                |          -0.48          -0.05           0.09 |           0.00           0.42 
SiO                  |          -0.64          -0.09           0.16 |           0.00           0.43 
CH2Cl2               |          -0.56          -0.07           0.09 |          -0.00           0.43 
BCl3                 |          -0.52          -0.06           0.09 |          -0.00           0.43 
NH3                  |          -0.79          -0.16           0.25 |           0.00           0.43 
CO                   |          -0.78          -0.15           0.22 |           0.00           0.44 
HCN                  |          -0.80          -0.16           0.23 |           0.00           0.44 
CH3OH                |          -0.74          -0.15           0.28 |           0.00           0.44 
CH4N2O               |          -0.55          -0.08           0.19 |           0.00           0.44 
CF2O                 |          -0.77          -0.17           0.32 |           0.00           0.45 
CH3                  |          -0.76          -0.15           0.18 |           0.00           0.45 
CH3NO2               |          -0.68          -0.13           0.19 |           0.00           0.45 
CH4                  |          -0.76          -0.15           0.18 |           0.00           0.45 
CH2O                 |          -0.76          -0.16           0.27 |           0.00           0.45 
OCHCHO               |          -0.61          -0.10           0.14 |          -0.00           0.45 
Cl2                  |          -0.66          -0.11           0.11 |          -0.00           0.47 
SO2                  |          -0.68          -0.13           0.16 |          -0.00           0.47 
P2                   |          -0.57          -0.08           0.05 |           0.00           0.47 
FCN                  |          -0.77          -0.17           0.17 |           0.00           0.47 
HCl                  |          -0.79          -0.17           0.16 |           0.00           0.47 
NNO                  |          -0.76          -0.17           0.23 |           0.00           0.48 
NF3                  |          -0.75          -0.17           0.21 |           0.00           0.48 
ClF3                 |          -0.67          -0.13           0.13 |           0.00           0.48 
HOCl                 |          -0.72          -0.15           0.14 |          -0.00           0.48 
CO2                  |          -0.77          -0.19           0.23 |           0.00           0.49 
ClF                  |          -0.77          -0.18           0.15 |           0.00           0.50 
H2O                  |          -0.93          -0.27           0.28 |           0.00           0.50 
H2O2                 |          -0.82          -0.20           0.18 |          -0.00           0.51 
NH                   |          -0.92          -0.26           0.25 |           0.00           0.51 
CH3F                 |          -0.77          -0.18           0.19 |          -0.00           0.52 
F2O                  |          -0.85          -0.23           0.29 |           0.00           0.52 
CHF3                 |          -0.70          -0.15           0.12 |           0.00           0.53 
CH2F2                |          -0.72          -0.15           0.11 |          -0.00           0.53 
HCO                  |          -0.77          -0.18           0.12 |           0.00           0.53 
SF6                  |          -0.59          -0.10           0.12 |          -0.00           0.53 
O3                   |          -0.79          -0.19           0.08 |           0.00           0.54 
NO2                  |          -0.79          -0.20           0.14 |          -0.00           0.54 
SiF4                 |          -0.63          -0.13           0.27 |          -0.00           0.56 
CF4                  |          -0.70          -0.15           0.26 |           0.00           0.57 
N2                   |          -0.86          -0.25           0.15 |          -0.00           0.57 
NH2                  |          -0.93          -0.29           0.16 |           0.00           0.58 
O2                   |          -0.94          -0.29           0.18 |           0.00           0.58 
NO                   |          -0.92          -0.29           0.13 |          -0.00           0.61 
BF3                  |          -0.74          -0.19           0.11 |          -0.00           0.62 
HF                   |          -1.12          -0.44           0.25 |           0.00           0.62 
F2                   |          -1.00          -0.36           0.12 |          -0.00           0.69 
ClO                  |          -0.81          -0.30           0.01 |           0.00           0.94 
C2H4                 |          -0.65          -0.28          -0.15 |          -0.15           1.00 
C2N2                 |          -0.63          -0.24          -0.07 |          -0.07           1.00 
OH                   |          -1.08          -0.63          -0.05 |          -0.05           1.00 
--------------------------------------------------------------------------------------------------------
