The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules when varying a global hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table.
----------------------------------------------------------------------------------------------------------
                     |                alpha                         |                opt            
CH2CO                |          -0.65          -0.23           0.19 |          -0.00           0.78 
F2                   |          -1.00          -0.36           0.29 |          -0.00           0.78 
CH3SH                |          -0.63          -0.23           0.18 |          -0.00           0.78 
HOCl                 |          -0.72          -0.27           0.17 |          -0.00           0.78 
NaCl                 |          -0.70          -0.25           0.19 |          -0.00           0.78 
HCN                  |          -0.81          -0.29           0.22 |          -0.00           0.78 
Si2H6                |          -0.52          -0.19           0.15 |          -0.00           0.78 
SiF4                 |          -0.63          -0.24           0.19 |          -0.00           0.78 
Chloroethene         |          -0.58          -0.21           0.16 |          -0.00           0.79 
NO2                  |          -0.79          -0.30           0.23 |          -0.00           0.79 
Cyclopropene         |          -0.61          -0.22           0.17 |          -0.00           0.79 
CCl2F2               |          -0.58          -0.22           0.17 |          -0.00           0.79 
CH2CF2               |          -0.64          -0.24           0.17 |          -0.00           0.79 
C2H4                 |          -0.66          -0.24           0.17 |          -0.00           0.79 
CBrF3                |          -0.64          -0.25           0.18 |          -0.00           0.79 
CF4                  |          -0.69          -0.26           0.19 |          -0.00           0.79 
CH3CH2CH3            |          -0.56          -0.22           0.17 |          -0.00           0.79 
CH2Cl2               |          -0.56          -0.23           0.16 |          -0.00           0.79 
Fluoroethene         |          -0.65          -0.24           0.17 |          -0.00           0.79 
ClF3                 |          -0.67          -0.26           0.19 |          -0.00           0.79 
C2F4                 |          -0.64          -0.24           0.17 |          -0.00           0.80 
CH4                  |          -0.76          -0.29           0.20 |          -0.00           0.80 
CHFCF2               |          -0.64          -0.24           0.17 |          -0.00           0.80 
OCS                  |          -0.64          -0.24           0.17 |          -0.00           0.80 
Z-CHF-CHF            |          -0.65          -0.24           0.17 |          -0.00           0.80 
CH3CH3               |          -0.62          -0.24           0.21 |          -0.00           0.80 
CH3                  |          -0.77          -0.28           0.18 |          -0.00           0.80 
FCN                  |          -0.77          -0.29           0.19 |          -0.00           0.80 
CO                   |          -0.80          -0.30           0.19 |          -0.00           0.80 
C2H2                 |          -0.72          -0.27           0.17 |          -0.00           0.80 
CHF3                 |          -0.70          -0.28           0.18 |          -0.00           0.81 
HCCF                 |          -0.71          -0.27           0.17 |          -0.00           0.81 
N2                   |          -0.87          -0.33           0.18 |          -0.00           0.81 
NO                   |          -0.92          -0.36           0.21 |          -0.00           0.81 
SF6                  |          -0.60          -0.22           0.49 |          -0.00           0.81 
ClF                  |          -0.77          -0.31           0.18 |          -0.00           0.82 
HCl                  |          -0.80          -0.31           0.17 |          -0.00           0.82 
CH2F2                |          -0.72          -0.28           0.16 |          -0.00           0.82 
CFCl3                |          -0.52          -0.21           0.12 |          -0.00           0.82 
CCl3H                |          -0.52          -0.21           0.11 |          -0.00           0.83 
H2S                  |          -0.70          -0.27           0.14 |          -0.00           0.83 
AlCl3                |          -0.48          -0.20           0.11 |          -0.00           0.83 
HCO                  |          -0.77          -0.31           0.16 |          -0.00           0.83 
BCl3                 |          -0.52          -0.21           0.11 |          -0.00           0.83 
Cl2                  |          -0.66          -0.27           0.13 |          -0.00           0.83 
PF3                  |          -0.66          -0.27           0.13 |          -0.00           0.84 
PH3                  |          -0.64          -0.26           0.12 |          -0.00           0.84 
SiH4                 |          -0.61          -0.25           0.11 |          -0.00           0.85 
CCl4                 |          -0.48          -0.19           0.22 |           0.09           0.85 
Pyrazine             |          -0.53          -0.19           0.07 |          -0.01           0.86 
O3                   |          -0.78          -0.30           0.12 |          -0.00           0.86 
SiH3                 |          -0.59          -0.25           0.09 |          -0.00           0.87 
NH                   |          -0.98          -0.46           0.12 |          -0.00           0.90 
SiF2                 |          -0.63          -0.28           0.06 |          -0.00           0.91 
P2                   |          -0.58          -0.28           0.04 |          -0.00           0.93 
S2                   |          -0.61          -0.32           0.04 |          -0.00           0.95 
H2                   |          -0.57          -0.30          -0.02 |          -0.02           1.00 
----------------------------------------------------------------------------------------------------------
